"SpillNumber","DateReported","Note","Product","ProductNote","Town","Location","LATITUDE","LONGITUDE"
"A-23-1995",1/21/1995,"","Unleaded Gasoline","","LINCOLNVILLE","",44.298005,-69.107517
"A-23-2004",1/11/2004,"10 gallon overfill","Gasoline Unspecified","","UNITY","Depot Store",44.615752,-69.320172
"A-23-2009",1/15/2009 11:45:00 PM,"Outside AST 150 gallons spilled.","#2 Fuel Oil","","DAMARISCOTTA","2 Hutching Lane Robin Tukey 563-7455",44.033294,-69.50309
"A-24-1984",3/1/1984,"","#3 Fuel Oil","","BELFAST","",44.431208,-68.988879
"A-24-1985",2/14/1985 8:30:00 AM,"","Unleaded Gasoline","","MANCHESTER","",44.326097,-69.856377
"A-24-2007",1/13/2007 11:30:00 AM,"AST corrosion, AST replaced on 1-13. Soil removal on 1-16  send  AST  application and  OPTIONS AGREEMENT ","#1 Fuel Oil - Kerosene","","FAYETTE","20 Lovejoy Shore Drive",44.407197,-70.019795
"A-24-2008",1/8/2008 10:10:00 AM,"Snow opened valve to outside AST 150-200 gallons to ground and perimeter drain.","#1 Fuel Oil - Kerosene","","LITCHFIELD","185 Huntington Hill Road",44.173124,-69.958179
"A-25-2000",1/12/2000 1:50:00 PM,"","#1 Fuel Oil - Kerosene","","BELGRADE","",44.531873,-69.803533
"A-26-1994",1/23/1994 11:00:00 AM,"","#5 Fuel Oil","","SKOWHEGAN","",44.750124,-69.728728
"A-26-1995",1/25/1995 8:30:00 AM,"","Waste Oil/Used Motor Oil","","WISCASSET","",44.009864,-69.697634
"A-26-1996",1/17/1996 3:00:00 PM,"","#1 Fuel Oil - Kerosene","","WHITEFIELD","",44.222139,-69.58746
"A-26-2007",1/16/2007 7:45:00 AM,"Line leak, minor spill .","#1 Fuel Oil - Kerosene","","JAY","4 Stone St. Valerie Grover",44.504914,-70.219715
"A-27-1987",2/6/1987,"","Gasoline Unspecified","","THOMASTON","",44.010716,-69.131673
"A-27-1995",1/25/1995 8:45:00 AM,"","#1 Fuel Oil - Kerosene","","BENTON","",44.587168,-69.586589
"A-27-1996",1/19/1996,"","#1 Fuel Oil - Kerosene","","LEEDS","",44.302763,-70.124183
"A-27-2001",1/12/2001 12:00:00 PM,"","#1 Fuel Oil - Kerosene","","OWLS HEAD","",44.05219,-69.084944
"A-27-2007",1/11/2007 9:03:00 AM,"Contaminated well complaint, fuel oil","Oil - Other - Specified in Report","","CHELSEA","195 Hallowell Road",44.28183,-69.758296
"A-27-2008",1/8/2008 5:00:00 PM,"Vehicle gas tank leaked 8-10 gallons to driveway.  F. D. cleaned up.","Gasoline Unspecified","","RANGELEY","39 Pleasant Street",44.968401,-70.644846
"A-28-1993",1/15/1993 3:47:00 PM,"","Hazardous Chemical - Unspecified","","RUMFORD","",44.552361,-70.540829
"A-28-1997",1/27/1997 11:50:00 AM,"","#1 Fuel Oil - Kerosene","","MADISON","",44.848487,-69.756852
"A-28-2001",1/16/2001,"","Gasoline Unspecified","","UNITY","",44.614121,-69.331093
"A-29-2000",1/14/2000 6:19:00 PM,"","Gasoline Unspecified","","ROCKLAND","",44.123497,-69.117937
"A-29-2005",1/15/2005 8:40:00 AM,"8 gallon customer overfill.","Gasoline Unspecified","","UNION","Four Corners Variety, Route 17",44.216353,-69.275679
"A-30-1984",3/10/1984 3:00:00 PM,"","Unleaded Gasoline","","HALLOWELL","",44.286386,-69.790556
"A-30-1995",1/27/1995,"","Diesel","","MONTVILLE","",44.405201,-69.321843
"A-30-2000",1/15/2000 9:50:00 AM,"","#2 Fuel Oil","","ISLESBORO","",44.303196,-68.902129
"A-30-2003",1/15/2003 10:19:00 AM,"fitting leak inside living space at Greg Starks","#2 Fuel Oil","","WISCASSET","Fowls Hill Rd.",44.039833,-69.669258
"A-31-1983",11/30/1983 12:30:00 PM,"","Gasoline Unspecified","","WINTHROP","",44.320958,-69.906171
"A-31-1988",2/1/1988,"","Leaded Gasoline","","AUGUSTA","",44.315071,-69.80449
"A-31-1990",1/25/1990,"","Gasoline Unspecified","","JAY","",44.502087,-70.21193
"A-31-1993",1/19/1993,"","Sulfuric Acid","","RUMFORD","",44.552361,-70.540829
"A-31-2005",1/17/2005 9:15:00 AM,"Line leak  under mobile home, unknown quantity lost.  R.P. Albert Maberry  778-4338","#1 Fuel Oil - Kerosene","","CHESTERVILLE","122 Valley Rd",44.587772,-70.093989
"A-31-2012",1/17/2012 9:15:00 AM,"Copper line stolen from tank, est 200 gallons spilled","#1 Fuel Oil - Kerosene","","WEST GARDINER","22 Spears Corner Rd. Richard Whipple 441-9504",44.206034,-69.882929
"A-32-1986",2/13/1986,"","Leaded Gasoline","","BELGRADE","",44.523042,-69.885739
"A-32-1995",1/30/1995 8:00:00 AM,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-32-1997",1/29/1997 2:30:00 PM,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-32-2009",1/21/2009 10:30:00 AM,"250 gallons to dirt basement. Well on site.","#2 Fuel Oil","","UNITY","392 School Street",44.613051,-69.353095
"A-32-2010",1/18/2010 7:00:00 PM,"Estimated 20 gallons to pavement and snow.  Gas tank fell off vehicle?","Gasoline Unspecified","","INDUSTRY","Savage Road",44.716871,-70.088307
"A-33-1999",1/18/1999,"","#1 Fuel Oil - Kerosene","","MONMOUTH","",44.192732,-70.050746
"A-33-2000",1/17/2000 7:00:00 PM,"","Liquors","White, green, etc..  Please specify type in Products Found table - Additional Description field.","RUMFORD","",44.552361,-70.540829
"A-33-2002",1/17/2002 10:54:58 AM,"overfill alarm was not activated (power shut off); overfill K-1 tank (15-20 gals) clean up done by Potter Oil Company","#1 Fuel Oil - Kerosene","","CHINA","Rt 137  Winslow Rd.  Frontier Oil Bulk Plant",44.487712,-69.531125
"A-33-2008",1/7/2008 2:50:00 PM,"Snow and ice.....250 gallons spilled from AST leak. Broken nipple","#1 Fuel Oil - Kerosene","","WILTON","box 61...Route 133",44.589786,-70.171027
"A-34-1995",1/28/1995 10:43:00 AM,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-34-2003",1/22/2003 9:00:14 AM,"(isopropanol) pump seal failed; 100 gallons to dike; late report","Hazardous Chemical - Specified in report","","ROCKLAND","FMC Corp",44.107315,-69.104771
"A-34-2011",1/10/2011 3:05:00 PM,"Outside AST line leak, est. 200 gallons spilled.","#1 Fuel Oil - Kerosene","","BOOTHBAY HARBOR","23 Bradley Rd. Richard Morton 443-3927",43.867706,-69.605738
"A-35-1995",1/29/1995 8:17:00 AM,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-36-1990",1/26/1990 9:30:00 PM,"","#1 Fuel Oil - Kerosene","","WINSLOW","",44.58669,-69.582869
"A-36-1995",1/30/1995 3:20:00 AM,"","Liquors","White, green, etc..  Please specify type in Products Found table - Additional Description field.","CANTON","",44.492391,-70.33678
"A-36-1997",2/4/1997,"","Gasoline Unspecified","","OAKLAND","",44.553477,-69.70454
"A-37-1986",2/28/1986,"","Gasoline Unspecified","","AUGUSTA","",44.310286,-69.781111
"A-37-1990",1/28/1990 4:10:00 PM,"","Lube Oil","","WATERVILLE","",44.567781,-69.617815
"A-37-2008",1/10/2008 11:45:00 AM,"Snow/ice damage to AST filter.","#1 Fuel Oil - Kerosene","","AUGUSTA","125 Outlet Road Augusta, ME 04330",44.285493,-69.680638
"A-37-2009",1/23/2009 8:10:00 AM,"75-80 gallons lost from a twisted filter gasket.","#1 Fuel Oil - Kerosene","","MORRILL","147 Higgins Hill Road",44.418119,-69.168628
"A-38-1984",3/27/1984 2:30:00 PM,"","PCB Oil","Greater than 50 ppm.","ANDOVER","",44.616664,-70.747778
"A-38-1985",3/11/1985 4:10:00 PM,"","#3 Fuel Oil","","CLINTON","",44.637428,-69.515671
"A-38-1987",2/20/1987 8:15:00 AM,"","Lube Oil","","WATERVILLE","",44.567781,-69.617815
"A-38-1991",1/18/1991 10:00:00 AM,"","Unspecified Oil","","LEEDS","",44.22136,-70.091119
"A-38-2004",1/17/2004 10:44:00 AM,"20 gallons to ground","#2 Fuel Oil","","VINALHAVEN","Lance Morton Residence",44.047515,-68.838157
"A-38-2005",1/20/2005 10:15:00 PM,"35 gallons from nozzle, into storm drain.","Gasoline Unspecified","","AUGUSTA","Big Apple, Western Ave.",44.315395,-69.803955
"A-38-2007",1/24/2007 9:30:00 AM,"Tank corrosion, 150 gallons spilled. ","#1 Fuel Oil - Kerosene","","LITCHFIELD","409 Stevenstown Rd. Patricia Morrissette 582-3602",44.165898,-69.900321
"A-38-2012",1/18/2012 2:00:00 PM,"Contaminated well","Gasoline Unspecified","","SKOWHEGAN","875 Back Road",44.692897,-69.693465
"A-39-1991",1/22/1991,"","Unleaded Gasoline","","WINTHROP","",44.307182,-69.964117
"A-39-1992",1/24/1992,"","#2 Fuel Oil","","RUMFORD","",44.571876,-70.5638
"A-39-1997",2/7/1997 1:10:00 AM,"","Non-Hazardous Chemical - Specified in report","","RUMFORD","",44.552361,-70.540829
"A-39-1998",1/30/1998,"","Diesel","","PERU","",44.527272,-70.463605
"A-39-2004",1/18/2004 11:05:00 AM,"200 gallons to ground.","#1 Fuel Oil - Kerosene","","UNION","245 Butler Road",44.237538,-69.287943
"A-39-2005",1/22/2005 9:15:00 PM,"snowmobile hit AST","#1 Fuel Oil - Kerosene","","AUGUSTA","8 wilson court",44.370847,-69.796399
"A-39-2006",1/18/2006 6:20:00 PM,"Flooded cellar during storm - AST damaged  - 75 gallons","#1 Fuel Oil - Kerosene","","SMITHFIELD","627 Oak Hill Road",44.648105,-69.846764
"A-40-1984",4/4/1984 9:00:00 AM,"","Hazardous Chemical - Specified in report","","HOPE","",44.215236,-69.196195
"A-40-1994",2/2/1994,"","Chlorine","","RUMFORD","",44.552361,-70.540829
"A-40-1996",1/20/1996 1:09:00 PM,"","#1 Fuel Oil - Kerosene","","JAY","",44.508837,-70.2487
"A-40-2000",1/18/2000 6:30:00 PM,"","#1 Fuel Oil - Kerosene","","AUGUSTA","",44.358592,-69.785596
"A-40-2004",1/18/2004 6:50:00 PM,"100 gallons to residence floor and ground.","#1 Fuel Oil - Kerosene","","ST GEORGE","30 Hellyar Ave",43.947415,-69.200681
"A-40-2008",1/10/2008 4:30:00 PM,"Delivery driver noticed pink snow while filling tank.  Stopped delivery, found filter broken off.  Plugged leak. Outside AST 50-60 feet to the lake.","#1 Fuel Oil - Kerosene","","SIDNEY","33 Clover Lane - off the Pond Road.  Poulin Camp",44.509088,-69.759752
"A-41-1983",7/29/1983 10:30:00 AM,"","Non-Chemical Non-Oil Specified in report","","HOPE","",44.215236,-69.196195
"A-41-1988",2/10/1988 11:40:00 AM,"","Leaded Gasoline","","LEEDS","",44.265882,-70.091485
"A-41-1992",1/24/1992 1:10:00 PM,"","Gasoline Unspecified","","WINSLOW","",44.537225,-69.623056
"A-41-1994",2/2/1994,"","Diesel","","WATERVILLE","",44.572086,-69.636209
"A-41-2007",1/24/2007 2:00:00 PM,"Options agreement filled out....AST application given to Ewell","#1 Fuel Oil - Kerosene","","VINALHAVEN","",44.049783,-68.821708
"A-42-1992",1/24/1992 3:00:00 PM,"","Unleaded Gasoline","","WARREN","",44.122299,-69.248554
"A-42-1994",2/2/1994,"","#1 Fuel Oil - Kerosene","","BELFAST","",44.448967,-69.022817
"A-42-1996",1/22/1996 9:30:00 AM,"","Diesel","","WEST GARDINER","",44.208338,-69.826554
"A-42-1998",1/26/1998,"","Unleaded Gasoline","","BRISTOL","",43.858294,-69.555966
"A-42-2008",1/11/2008,"250 gallons to the ground. ice damage to filter assembly","#1 Fuel Oil - Kerosene","","AUGUSTA","Rt 105",44.313635,-69.700026
"A-42-2009",1/28/2009 12:39:00 PM,"Outside tank - 100 gallons to ground - delivered to wrong tank.","#2 Fuel Oil","","BENTON","761 East Benton Road",44.570547,-69.460819
"A-43-1985",3/23/1985 9:00:00 AM,"","Lube Oil","","WATERVILLE","",44.567781,-69.617815
"A-43-1996",1/25/1996 5:10:00 PM,"","Diesel","","GREENE","",44.193777,-70.136702
"A-43-1998",2/2/1998 5:15:00 PM,"","Diesel","","FARMINGTON","",44.635117,-70.153795
"A-43-2005",1/28/2005 8:30:00 AM,"AFC overfilled a tank.  Tank failed discharging the contents to a ?  250 gallons","#2 Fuel Oil","","CHELSEA","17 Pleasant Road",44.266537,-69.757329
"A-44-1995",2/4/1995,"","Hazardous Chemical - Specified in report","","RUMFORD","",44.552361,-70.540829
"A-44-2005",1/27/2005 12:30:00 PM,"Flipped oil truck 400 gallons lost   K1-#2","#2 Fuel Oil","","AUGUSTA","Church Hill Road",44.330218,-69.731876
"A-44-2008",1/14/2008,"residential AST spill.  ice/snow damage","#1 Fuel Oil - Kerosene","","FAIRFIELD","250 Martin Stream Road",44.628041,-69.730428
"A-44-2010",1/25/2010 6:00:00 AM,"Alex to sample well","Unspecified Fuel Oil","","BOOTHBAY","",43.903056,-69.654675
"A-45-2008",1/12/2008 5:30:00 PM,"Snow and ice....AST nipple break","#1 Fuel Oil - Kerosene","","JEFFERSON","8 shady lane",44.190279,-69.52683
"A-45-2009",1/30/2009 10:35:00 AM,"AST overfill, minor spill to finished basement.","#2 Fuel Oil","","WATERVILLE","16 John Street",44.535092,-69.65582
"A-46-1998",2/4/1998,"","#1 Fuel Oil - Kerosene","","CARTHAGE","",44.623756,-70.450368
"A-46-2002",1/25/2002 1:45:52 PM,"MTBE contaminated well; Tech referral","Gasoline Unspecified","","ROCKPORT","Ledwith residence",44.158217,-69.123
"A-46-2007",1/25/2007 3:00:00 PM,"Line leak to containment.","#2 Fuel Oil","","AUGUSTA","6 East Chestnut Avenue",44.312325,-69.768517
"A-47-1994",7/2/1994 1:04:00 AM,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-47-1996",1/26/1996,"","#1 Fuel Oil - Kerosene","","WINDSOR","",44.278182,-69.558253
"A-47-2002",1/25/2002 2:27:05 PM,"","Diesel","","WILTON","Big Apple",44.593114,-70.206535
"A-47-2003",1/28/2003 4:26:12 PM,"3 gal gasoline spill from faulty fuel pump on customer's car. Fire Department cleaned it up with sorbents. CN Brown will dispose of the sorbents","Gasoline Unspecified","","JAY","Service Station 94 Main St Jay",44.48413,-70.200413
"A-48-1987",3/4/1987,"","#2 Fuel Oil","","RANGELEY","",44.966423,-70.758851
"A-48-1997",2/14/1997 7:35:00 AM,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-48-2000",1/19/2000 3:40:00 PM,"","#1 Fuel Oil - Kerosene","","OWLS HEAD","",44.051695,-69.085222
"A-48-2002",1/25/2002 11:05:01 AM,"hose ruptured during delivery to AST water sample collected on 1-31-2002 ","Gasoline Unspecified","","TURNER","Route 4, south of Turner Village aka Megamart ",44.213257,-70.246755
"A-48-2003",1/30/2003 12:23:41 PM,"200+ gal to groung","#1 Fuel Oil - Kerosene","","SOUTH BRISTOL","Wawenock CC",43.951692,-69.55801
"A-48-2004",1/20/2004 11:05:00 AM,"20 gallons fuel oil delivery truck overfill to pavement","#1 Fuel Oil - Kerosene","","WALDOBORO","Route 1.  CN Brown",44.101556,-69.382305
"A-48-2011",1/21/2011 2:45:00 PM,"Littlefield - no phone neighbor phone no. 338-1366","#1 Fuel Oil - Kerosene","","NORTHPORT","1230 Atlantic Highway, Route One",44.375302,-68.983695
"A-49-1995",2/6/1995,"","Hydraulic Oil","","RUMFORD","",44.552361,-70.540829
"A-49-1997",2/14/1997 10:30:00 AM,"","Liquors","White, green, etc..  Please specify type in Products Found table - Additional Description field.","RUMFORD","",44.552361,-70.540829
